               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.0446,              1.5026,               1.636,             0.45567,             0.59146,             0.50333,             0.26114,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.0391,              1.4997,              1.6332,             0.42414,             0.58782,             0.50164,             0.25899,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.0284,              1.4766,              1.6217,              0.4593,             0.56824,             0.50395,             0.25079,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.0356,               1.482,              1.6192,             0.44882,             0.57459,             0.49675,              0.2461,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.0263,              1.4575,              1.6236,             0.43211,              0.5776,             0.49505,             0.24763,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              2.0116,              1.4601,              1.6136,             0.48288,             0.60008,             0.52621,              0.2646,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.0228,              1.4441,               1.602,             0.52654,             0.58224,              0.5139,             0.24825,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,               2.014,              1.4323,              1.6066,             0.49989,              0.6111,             0.55381,             0.26813,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              2.0158,              1.4285,              1.6039,             0.52459,             0.56359,             0.49189,             0.25013,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.9954,              1.4202,               1.596,             0.51506,             0.56541,             0.52777,             0.26189,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.9912,              1.4075,              1.5921,             0.49907,             0.57663,             0.53221,             0.25561,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.9745,              1.3966,               1.594,             0.43714,             0.64368,             0.52803,             0.26595,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.9794,              1.3997,              1.5871,             0.44594,             0.61926,             0.52591,             0.26812,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.9684,              1.3915,              1.5781,             0.46943,             0.60842,             0.51533,             0.25769,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.9676,              1.3606,              1.5763,             0.43316,             0.61372,             0.48017,             0.24965,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.9803,               1.384,              1.5875,             0.46767,             0.60638,             0.50392,             0.25826,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.9643,              1.3666,              1.5766,             0.47464,             0.61209,             0.53244,             0.26624,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.9348,              1.3416,              1.5651,             0.45924,             0.61489,             0.52833,             0.26735,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  58,              1.9503,              1.3515,               1.562,              0.4462,              0.6315,             0.51273,             0.25183,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                  59,              1.9475,              1.3523,               1.564,             0.48078,             0.59396,             0.51338,              0.2609,                   0,                   0,                   0,            0.004258,            0.004258,            0.004258
                  60,              1.9317,              1.3332,              1.5672,             0.47682,             0.60188,             0.51916,             0.26268,                   0,                   0,                   0,            0.004159,            0.004159,            0.004159
                  61,              1.9381,              1.3364,               1.554,             0.45441,             0.62561,             0.50035,              0.2523,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  62,              1.9358,              1.3303,              1.5601,             0.47706,             0.61012,             0.51806,             0.26087,                   0,                   0,                   0,            0.003961,            0.003961,            0.003961
                  63,              1.9145,              1.3207,              1.5526,             0.52792,             0.56888,             0.49048,             0.25441,                   0,                   0,                   0,            0.003862,            0.003862,            0.003862
                  64,              1.9154,              1.3085,              1.5541,             0.45839,             0.62003,             0.51369,             0.26431,                   0,                   0,                   0,            0.003763,            0.003763,            0.003763
                  65,              1.9059,              1.2892,              1.5471,             0.49896,             0.57961,             0.53946,             0.27239,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.9127,              1.2911,              1.5403,             0.48222,              0.6099,             0.52342,             0.26348,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,                1.92,              1.3112,              1.5493,             0.49182,             0.61043,             0.52152,             0.26148,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,              1.8953,              1.2895,              1.5388,              0.4985,             0.61403,             0.54355,              0.2789,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.9014,              1.2679,              1.5401,             0.48354,             0.62265,             0.51504,             0.26645,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.8929,              1.2701,              1.5337,             0.48338,             0.58546,             0.49973,             0.26293,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.8893,               1.275,              1.5427,             0.50209,             0.61547,             0.51666,             0.27043,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,               1.878,              1.2634,              1.5247,              0.4422,             0.63977,             0.50315,             0.26137,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.8924,              1.2772,              1.5395,             0.46531,             0.62628,             0.52151,             0.26907,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.8702,              1.2471,              1.5285,             0.48549,             0.61123,             0.52607,             0.26714,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.8676,              1.2659,              1.5273,             0.48545,             0.59396,             0.49578,             0.26023,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.8602,              1.2497,              1.5183,              0.4687,             0.61458,             0.50401,             0.26467,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.8466,              1.2192,              1.5164,             0.46717,             0.60762,             0.50582,             0.26167,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.8307,               1.211,              1.5026,             0.47625,             0.61335,             0.50053,             0.25937,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.8493,              1.2147,              1.5031,             0.48156,             0.62839,             0.52296,             0.26797,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.8323,              1.2104,              1.5098,             0.49715,             0.59034,             0.52337,             0.27166,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.8289,              1.2014,              1.5043,             0.50026,             0.60305,             0.51286,             0.26272,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.8129,              1.1999,              1.4981,             0.48808,             0.64144,             0.53078,             0.27903,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,               1.819,              1.1915,              1.4916,             0.48433,             0.62466,             0.50123,             0.25797,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.8197,              1.1892,              1.4937,               0.495,             0.62854,             0.53892,             0.28454,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.8221,               1.193,              1.4991,             0.51526,             0.57992,              0.5252,             0.27914,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.8161,              1.1812,              1.4941,             0.49226,             0.61054,             0.51063,             0.26713,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,              1.7999,              1.1624,              1.4851,             0.49693,             0.65405,             0.54849,             0.29126,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.8017,              1.1723,              1.4869,             0.47485,             0.62303,             0.53067,             0.28302,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.8056,              1.1702,               1.488,             0.47999,              0.6345,             0.53469,             0.28099,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.7807,              1.1645,               1.477,             0.47483,             0.63349,               0.535,              0.2798,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,               1.788,              1.1616,              1.4793,             0.49749,             0.59685,             0.48892,             0.25917,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.7793,              1.1396,              1.4788,             0.45014,              0.6384,             0.48993,             0.26035,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.7831,              1.1487,               1.476,             0.47027,             0.63797,             0.51317,             0.26881,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.7637,              1.1369,              1.4692,             0.47896,             0.60904,             0.49327,             0.26662,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,               1.771,              1.1359,              1.4663,             0.47031,             0.62907,             0.50306,             0.26685,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.7747,              1.1248,              1.4674,             0.49581,             0.60803,             0.50154,             0.26665,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.7589,              1.1282,              1.4659,             0.48538,             0.61999,             0.50556,              0.2678,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,              1.7595,              1.1108,              1.4586,             0.48584,             0.61581,             0.50909,             0.27073,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,              1.7435,              1.1133,              1.4558,             0.47927,             0.63545,             0.51666,             0.27919,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
