               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.6131,              8.3695,              5.3758,             0.63357,            0.016731,           0.0066866,           0.0023588,                   0,                   0,                   0,            0.070072,           0.0033254,           0.0033254
                   1,              4.8586,              6.2755,              4.6244,             0.60403,            0.088284,            0.033185,           0.0087391,                   0,                   0,                   0,            0.040006,           0.0065928,           0.0065928
                   2,              3.5143,              4.1823,               3.019,             0.65364,            0.097261,             0.10957,            0.044928,                   0,                   0,                   0,           0.0098738,           0.0097942,           0.0097942
                   3,              3.1072,              3.4843,              2.4526,             0.51655,             0.23517,             0.14484,            0.051879,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              2.9153,              3.0623,              2.2729,             0.48061,             0.25465,             0.22019,            0.086905,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              2.7538,              2.7593,              2.1411,             0.56464,             0.26661,             0.24802,             0.11155,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              2.6398,              2.5547,              2.0587,             0.50444,             0.25307,             0.27607,             0.11606,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,               2.592,              2.4179,              1.9903,             0.48055,              0.3839,             0.31811,             0.14364,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              2.5396,              2.3269,              1.9626,             0.46484,             0.38341,             0.32635,             0.14055,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              2.4693,              2.2376,              1.9253,             0.63975,             0.40991,             0.39905,             0.17675,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              2.4489,              2.1646,              1.9003,              0.6208,             0.41452,             0.36787,             0.16377,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              2.4248,              2.1385,              1.8738,             0.60619,             0.44618,             0.38422,             0.17215,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              2.3696,               2.033,              1.8403,              0.6427,             0.43808,             0.38876,             0.17503,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              2.3554,              2.0098,               1.827,             0.63434,             0.45594,             0.40165,             0.18515,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              2.3301,              1.9661,              1.8131,             0.55796,             0.50636,             0.38879,             0.18325,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              2.3052,              1.9297,              1.7763,             0.53333,              0.4512,             0.38957,             0.17751,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              2.2781,               1.887,              1.7649,             0.55544,             0.49988,             0.41744,             0.19054,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              2.2592,              1.8597,              1.7553,             0.59868,             0.46314,             0.42882,             0.19672,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              2.2439,              1.8429,              1.7568,             0.58887,             0.43905,             0.42695,             0.21199,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              2.2281,              1.7859,              1.7307,             0.61676,             0.50487,             0.41085,             0.20356,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              2.2284,               1.804,              1.7317,               0.601,             0.49551,             0.49089,             0.22585,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              2.2169,              1.7743,              1.7241,             0.54675,             0.54112,             0.49389,             0.22593,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              2.1931,              1.7444,              1.7135,             0.70748,             0.46181,             0.49167,             0.23227,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              2.1688,              1.7009,              1.6909,             0.62611,             0.44569,              0.4816,             0.24089,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              2.1732,              1.6933,              1.7003,             0.59123,              0.5369,             0.48898,             0.22593,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              2.1696,               1.686,              1.6855,             0.46126,             0.52503,              0.4686,             0.22463,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              2.1466,              1.6539,               1.676,             0.49304,             0.58574,             0.52167,              0.2408,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              2.1458,              1.6495,              1.6733,             0.46778,             0.58062,             0.47332,             0.22981,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              2.1409,              1.6431,              1.6795,             0.36972,             0.64206,             0.50298,              0.2405,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              2.1014,              1.6068,              1.6514,             0.48561,             0.58669,              0.4958,             0.24392,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              2.1204,              1.6107,              1.6657,             0.40896,              0.5776,             0.48371,             0.23456,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              2.0974,               1.601,              1.6532,             0.42653,             0.63973,             0.52125,             0.25393,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              2.1009,              1.6016,              1.6421,             0.44152,             0.55052,             0.48522,             0.23121,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              2.0996,              1.5811,              1.6456,              0.4022,             0.60384,             0.48176,               0.244,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              2.0929,               1.569,              1.6391,             0.45924,             0.63048,             0.50603,             0.25371,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              2.0711,              1.5403,              1.6339,             0.39575,             0.62244,             0.50721,             0.24756,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              2.0821,              1.5547,              1.6336,             0.45459,             0.57317,             0.51931,             0.25643,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              2.0662,              1.5439,               1.621,              0.4813,             0.58683,             0.55886,              0.2774,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              2.0674,              1.5182,              1.6131,             0.43312,              0.5842,             0.48854,             0.24475,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              2.0459,               1.512,              1.6152,             0.48842,             0.59077,             0.52298,             0.25375,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              2.0404,              1.4932,              1.6215,             0.52433,              0.5987,             0.53578,             0.26249,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.0339,               1.493,              1.6094,              0.4788,             0.58923,             0.52505,             0.25884,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.0272,              1.4706,              1.6025,             0.47448,             0.61167,             0.52672,             0.26531,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.0134,              1.4485,              1.5936,             0.46421,             0.61462,              0.5128,             0.25468,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.0231,               1.469,              1.5966,             0.43186,             0.59456,             0.49458,             0.25403,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
